Tab,Name,Description,URL,Thumbnail,HiRes Thumbnail,Categories
Themes,Flatsome,,https://themeforest.net/item/flatsome-multipurpose-responsive-woocommerce-theme/5484319,https://placem.at/things?w=300&h=140&random=Flatsome&txt=Flatsome,https://placem.at/things?w=600&h=280&random=Flatsome&txt=Flatsome,
Themes,Newspaper,,https://themeforest.net/item/newspaper/5489609,https://placem.at/things?w=300&h=140&random=Newspaper&txt=Newspaper,https://placem.at/things?w=600&h=280&random=Newspaper&txt=Newspaper,
Themes,Avada,,https://avada.theme-fusion.com/,https://placem.at/things?w=300&h=140&random=Avada&txt=Avada,https://placem.at/things?w=600&h=280&random=Avada&txt=Avada,
Themes,Enfold,,https://themeforest.net/item/enfold-responsive-multipurpose-theme/4519990,https://placem.at/things?w=300&h=140&random=Enfold&txt=Enfold,https://placem.at/things?w=600&h=280&random=Enfold&txt=Enfold,
Themes,Gateway,,https://wordpress.com/theme/gateway/,https://placem.at/things?w=300&h=140&random=Gateway&txt=Gateway,https://placem.at/things?w=600&h=280&random=Gateway&txt=Gateway,
Themes,Author Pro,,https://my.studiopress.com/themes/author/,https://placem.at/things?w=300&h=140&random=Author%20Pro&txt=Author%20Pro,https://placem.at/things?w=600&h=280&random=Author%20Pro&txt=Author%20Pro,
Themes,Authority Pro,,https://my.studiopress.com/themes/authority/,https://placem.at/things?w=300&h=140&random=Authority%20Pro&txt=Authority%20Pro,https://placem.at/things?w=600&h=280&random=Authority%20Pro&txt=Authority%20Pro,
Themes,Essence Pro,,https://my.studiopress.com/themes/essence/,https://placem.at/things?w=300&h=140&random=Essence%20Pro&txt=Essence%20Pro,https://placem.at/things?w=600&h=280&random=Essence%20Pro&txt=Essence%20Pro,
Themes,Magazine Pro,,https://my.studiopress.com/themes/magazine/,https://placem.at/things?w=300&h=140&random=Magazine%20Pro&txt=Magazine%20Pro,https://placem.at/things?w=600&h=280&random=Magazine%20Pro&txt=Magazine%20Pro,
Themes,Wellness Pro,,https://my.studiopress.com/themes/wellness/,https://placem.at/things?w=300&h=140&random=Wellness%20Pro&txt=Wellness%20Pro,https://placem.at/things?w=600&h=280&random=Wellness%20Pro&txt=Wellness%20Pro,
Plugins,Yoast SEO,The #1 WordPress SEO plugin,https://yoast.com/wordpress/plugins/seo/,https://placem.at/things?w=300&h=140&random=Yoast%20SEO&txt=Yoast%20SEO,https://placem.at/things?w=600&h=280&random=Yoast%20SEO&txt=Yoast%20SEO,
Plugins,SearchWP,Instantly improve your site search without writing a line of code!,https://searchwp.com/,https://placem.at/things?w=300&h=140&random=SearchWP&txt=SearchWP,https://placem.at/things?w=600&h=280&random=SearchWP&txt=SearchWP,
Plugins,FacetWP,"Use FacetWP to add faceted search to your BigCommerce sites, resource libraries, listing pages and more.",https://facetwp.com/,https://placem.at/things?w=300&h=140&random=FacetWP&txt=FacetWP,https://placem.at/things?w=600&h=280&random=FacetWP&txt=FacetWP,
Support Links,BigCommerce Help Center,Welcome! How can we help?,https://support.bigcommerce.com/,,,
Support Links,Knowledge Base,"Find helpful articles, videos and more!",https://support.bigcommerce.com/s/knowledge,,,
Support Links,Community,Find answers. Join discussions. Get inspired.,https://support.bigcommerce.com/s/community,,,
